"X" "Y" "Z" "Intensity"
5.707 5.224 2.073 65.000
5.720 5.198 2.071 63.000
5.737 5.180 2.071 65.000
5.762 5.166 2.074 74.000
5.789 5.154 2.077 105.000
5.800 5.126 2.074 115.000
5.810 5.101 2.072 106.000
5.828 5.080 2.072 75.000
5.844 5.059 2.071 69.000
5.871 5.045 2.074 65.000
5.887 5.026 2.074 63.000
5.896 4.998 2.071 63.000
5.911 4.974 2.070 63.000
5.936 4.960 2.073 67.000
5.953 4.939 2.073 60.000
5.976 4.923 2.075 67.000
5.985 4.897 2.072 63.000
6.003 4.875 2.072 69.000
6.019 4.855 2.072 65.000
6.040 4.835 2.073 63.000
6.065 4.823 2.076 65.000
6.074 4.793 2.073 58.000
6.088 4.772 2.073 67.000
6.104 4.748 2.072 65.000
6.124 4.735 2.074 69.000
6.138 4.710 2.073 63.000
6.146 4.680 2.070 65.000
6.163 4.659 2.070 72.000
6.177 4.636 2.070 67.000
6.203 4.621 2.073 67.000
6.226 4.607 2.075 72.000
6.223 4.571 2.069 65.000
6.229 4.540 2.065 51.000
6.238 4.514 2.063 32.000
6.279 4.510 2.072 105.000
6.278 4.476 2.066 29.000
6.291 4.454 2.065 36.000
6.327 4.447 2.072 67.000
6.337 4.419 2.070 69.000
6.357 4.400 2.072 67.000
6.377 4.381 2.073 69.000
6.380 4.350 2.069 65.000
6.395 4.331 2.070 67.000
6.411 4.310 2.070 63.000
6.433 4.289 2.072 67.000
6.456 4.271 2.074 69.000
6.455 4.242 2.070 67.000
6.476 4.223 2.072 60.000
6.493 4.200 2.072 69.000
6.509 4.179 2.073 74.000
6.529 4.158 2.074 69.000
6.534 4.129 2.071 72.000
6.544 4.106 2.070 72.000
6.561 4.086 2.071 69.000
6.579 4.064 2.072 72.000
6.595 4.042 2.073 67.000
6.601 4.017 2.071 67.000
6.613 3.991 2.070 67.000
6.627 3.971 2.070 72.000
6.651 3.954 2.073 72.000
6.668 3.931 2.074 72.000
6.674 3.903 2.072 105.000
6.680 3.874 2.069 109.000
6.695 3.851 2.070 106.000
6.713 3.832 2.071 70.000
6.730 3.809 2.072 65.000
6.729 3.783 2.068 67.000
6.748 3.761 2.070 72.000
6.758 3.735 2.069 69.000
6.778 3.714 2.071 69.000
6.797 3.697 2.073 72.000
6.804 3.668 2.071 69.000
6.809 3.642 2.069 69.000
6.827 3.619 2.071 102.000
6.843 3.599 2.072 67.000
6.864 3.579 2.074 108.000
6.852 3.543 2.067 70.000
6.874 3.522 2.070 102.000
6.885 3.499 2.070 102.000
6.901 3.477 2.071 102.000
6.915 3.454 2.071 72.000
6.919 3.424 2.068 74.000
6.929 3.403 2.068 74.000
6.942 3.380 2.069 72.000
6.957 3.354 2.070 74.000
6.976 3.333 2.072 102.000
6.973 3.302 2.067 74.000
6.985 3.278 2.067 102.000
6.997 3.256 2.068 72.000
7.013 3.232 2.069 72.000
7.031 3.211 2.071 72.000
7.034 3.182 2.068 74.000
7.038 3.158 2.067 69.000
7.054 3.135 2.068 74.000
7.067 3.111 2.069 69.000
7.086 3.088 2.071 72.000
7.083 3.059 2.067 67.000
7.091 3.032 2.066 67.000
6.270 2.656 1.825 115.000
6.256 2.625 1.818 128.000
6.240 2.595 1.811 27.000
6.233 2.565 1.806 41.000
6.249 2.547 1.808 117.000
6.216 2.509 1.796 119.000
6.202 2.477 1.789 109.000
6.190 2.446 1.783 115.000
6.167 2.413 1.774 119.000
6.139 2.378 1.764 124.000
6.128 2.349 1.758 121.000
6.114 2.319 1.752 122.000
6.095 2.287 1.744 119.000
6.076 2.256 1.737 112.000
6.058 2.227 1.729 118.000
6.043 2.196 1.723 119.000
6.030 2.169 1.717 122.000
6.014 2.138 1.710 124.000
5.983 2.106 1.699 122.000
5.966 2.075 1.693 119.000
5.953 2.049 1.687 115.000
5.946 2.022 1.683 115.000
5.936 1.997 1.678 119.000
5.909 1.963 1.668 122.000
5.891 1.936 1.662 124.000
5.872 1.907 1.654 124.000
5.857 1.880 1.648 119.000
5.852 1.855 1.645 124.000
5.825 1.827 1.636 119.000
5.802 1.797 1.627 42.000
5.749 1.759 1.611 27.000
5.770 1.742 1.615 31.000
5.747 1.713 1.607 36.000
