"X","Y","Z","Intensity"
5.836,5.100,2.077,109.000
5.832,5.061,2.069,75.000
5.860,5.049,2.073,69.000
5.875,5.025,2.072,65.000
5.903,5.017,2.076,63.000
5.920,4.996,2.076,63.000
5.928,4.969,2.073,63.000
5.940,4.942,2.071,65.000
5.960,4.924,2.072,63.000
5.984,4.908,2.074,63.000
6.005,4.888,2.075,63.000
6.010,4.858,2.071,63.000
6.023,4.834,2.070,58.000
6.051,4.822,2.073,67.000
6.069,4.805,2.074,52.000
6.102,4.795,2.079,67.000
6.099,4.760,2.073,67.000
6.106,4.730,2.070,65.000
6.129,4.716,2.072,67.000
6.155,4.701,2.075,67.000
6.167,4.676,2.074,65.000
6.175,4.646,2.071,65.000
6.189,4.627,2.071,69.000
6.208,4.605,2.071,67.000
6.227,4.586,2.072,67.000
6.247,4.567,2.074,65.000
6.235,4.525,2.064,29.000
6.260,4.508,2.067,38.000
6.285,4.496,2.071,52.000
6.286,4.464,2.066,30.000
6.332,4.463,2.076,63.000
6.337,4.432,2.072,67.000
6.339,4.402,2.068,60.000
6.357,4.382,2.069,67.000
6.380,4.363,2.071,67.000
6.401,4.346,2.073,67.000
6.411,4.321,2.072,69.000
6.420,4.294,2.070,69.000
6.435,4.274,2.070,67.000
6.459,4.256,2.073,65.000
6.476,4.236,2.074,58.000
6.490,4.212,2.073,74.000
6.498,4.186,2.071,74.000
6.515,4.163,2.072,72.000
6.534,4.147,2.074,72.000
6.554,4.126,2.075,67.000
6.548,4.092,2.069,67.000
6.568,4.071,2.071,72.000
6.585,4.051,2.072,72.000
6.611,4.035,2.075,74.000
6.625,4.012,2.075,74.000
6.623,3.978,2.070,74.000
6.634,3.955,2.070,69.000
6.655,3.936,2.072,69.000
6.672,3.914,2.073,72.000
6.694,3.895,2.075,105.000
6.687,3.864,2.070,118.000
6.699,3.840,2.069,106.000
6.709,3.811,2.067,67.000
6.742,3.799,2.074,72.000
6.748,3.773,2.072,72.000
6.761,3.749,2.072,69.000
6.766,3.721,2.069,67.000
6.779,3.696,2.069,67.000
6.800,3.678,2.072,72.000
6.817,3.655,2.073,72.000
6.824,3.633,2.072,72.000
6.833,3.605,2.070,102.000
6.851,3.586,2.072,102.000
6.864,3.561,2.072,74.000
6.879,3.538,2.073,72.000
6.883,3.508,2.070,74.000
6.891,3.484,2.069,102.000
6.903,3.460,2.069,74.000
6.919,3.437,2.070,74.000
6.940,3.416,2.073,72.000
6.933,3.386,2.067,72.000
6.948,3.363,2.068,72.000
6.961,3.341,2.069,74.000
6.973,3.316,2.069,102.000
6.998,3.299,2.073,105.000
6.992,3.267,2.068,74.000
7.008,3.243,2.069,74.000
7.016,3.216,2.068,74.000
7.034,3.195,2.070,67.000
7.047,3.171,2.071,72.000
7.047,3.143,2.067,72.000
7.058,3.117,2.067,72.000
7.071,3.098,2.068,72.000
7.084,3.073,2.069,67.000
7.096,3.050,2.070,72.000
6.280,2.672,1.829,74.000
6.262,2.640,1.821,121.000
6.235,2.602,1.810,72.000
6.218,2.572,1.803,26.000
6.261,2.563,1.813,71.000
6.241,2.530,1.804,121.000
6.200,2.488,1.790,115.000
6.187,2.458,1.784,115.000
6.183,2.431,1.780,119.000
6.168,2.401,1.773,121.000
6.133,2.363,1.761,122.000
6.108,2.329,1.752,121.000
6.097,2.299,1.746,119.000
6.081,2.270,1.739,118.000
6.071,2.242,1.734,109.000
6.052,2.210,1.726,46.000
2.546,0.919,0.725,10.000
0,0,0,0
2.577,0.911,0.732,124.000
2.577,0.901,0.731,131.000
2.573,0.889,0.729,131.000
2.563,0.876,0.726,129.000
2.573,0.869,0.728,39.000
2.593,0.866,0.732,8.000
2.590,0.855,0.731,6.000
2.590,0.845,0.730,6.000
2.611,0.841,0.735,13.000
0,0,0,0
2.613,0.822,0.734,121.000
2.617,0.815,0.735,128.000
2.617,0.804,0.733,131.000
2.616,0.794,0.732,130.000
2.619,0.785,0.732,130.000
2.632,0.779,0.736,130.000
2.639,0.771,0.737,128.000
2.634,0.760,0.735,128.000
2.626,0.747,0.731,60.000
2.637,0.742,0.734,30.000
2.651,0.736,0.737,124.000
2.663,0.728,0.740,124.000
2.654,0.716,0.737,130.000
2.657,0.707,0.737,130.000
2.667,0.700,0.739,128.000
2.676,0.692,0.741,130.000
2.685,0.684,0.742,127.000
2.674,0.672,0.739,128.000
2.680,0.663,0.740,128.000
2.684,0.654,0.740,125.000
0,0,0,0
2.700,0.638,0.743,5.000
5.479,1.274,1.507,21.000
5.469,1.252,1.503,106.000
5.466,1.231,1.501,120.000
5.454,1.209,1.497,133.000
5.425,1.183,1.488,130.000
5.415,1.163,1.484,130.000
5.408,1.141,1.481,131.000
5.393,1.118,1.476,128.000
5.386,1.097,1.473,128.000
5.374,1.076,1.469,128.000
5.355,1.052,1.462,130.000
5.340,1.029,1.457,130.000
5.336,1.009,1.455,131.000
5.317,0.986,1.449,132.000
5.305,0.965,1.445,131.000
5.281,0.942,1.437,131.000
5.264,0.920,1.432,129.000
5.269,0.902,1.432,131.000
5.249,0.879,1.426,129.000
5.252,0.862,1.426,128.000
5.230,0.839,1.419,127.000
5.214,0.819,1.414,127.000
5.211,0.799,1.413,130.000
5.206,0.780,1.411,131.000
5.194,0.759,1.406,131.000
5.165,0.738,1.398,132.000
5.149,0.716,1.393,132.000
5.134,0.697,1.388,130.000
5.135,0.679,1.388,132.000
5.123,0.660,1.384,130.000
5.103,0.638,1.378,129.000
5.103,0.620,1.377,131.000
5.094,0.601,1.374,130.000
5.088,0.583,1.372,130.000
5.082,0.564,1.370,128.000
5.063,0.545,1.364,127.000
5.057,0.526,1.362,125.000
5.042,0.506,1.358,130.000
5.036,0.488,1.356,130.000
5.028,0.470,1.353,133.000
5.001,0.450,1.345,132.000
4.985,0.432,1.341,134.000
4.973,0.412,1.337,133.000
4.965,0.394,1.334,130.000
4.966,0.376,1.334,134.000
4.942,0.359,1.328,131.000
4.928,0.339,1.324,131.000
4.925,0.323,1.323,129.000
