"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.444,7.426,2.095,0.000
2.458,7.377,2.083,0.000
2.482,7.361,2.081,0.000
2.515,7.374,2.088,0.000
2.538,7.354,2.085,0.000
2.567,7.354,2.087,1.000
2.590,7.338,2.085,2.000
2.615,7.327,2.085,3.000
2.640,7.326,2.087,5.000
2.662,7.302,2.082,6.000
2.692,7.309,2.087,7.000
2.710,7.276,2.080,7.000
2.732,7.264,2.079,8.000
2.760,7.259,2.081,12.000
2.782,7.247,2.080,15.000
2.809,7.238,2.080,16.000
2.825,7.213,2.076,19.000
2.852,7.203,2.076,22.000
2.880,7.208,2.080,27.000
2.904,7.194,2.079,30.000
2.928,7.176,2.077,30.000
2.957,7.171,2.078,36.000
2.979,7.157,2.077,41.000
3.003,7.145,2.077,21.000
3.030,7.146,2.080,42.000
3.058,7.139,2.081,46.000
3.076,7.116,2.077,50.000
3.100,7.103,2.077,60.000
3.123,7.087,2.075,55.000
3.151,7.083,2.077,58.000
