"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.439,7.471,2.106,0.000
2.440,7.381,2.083,0.000
2.476,7.410,2.093,0.000
2.490,7.364,2.083,0.000
2.519,7.358,2.084,0.000
2.551,7.368,2.089,1.000
2.576,7.359,2.089,1.000
2.598,7.341,2.087,2.000
2.613,7.305,2.079,2.000
2.639,7.294,2.078,4.000
2.666,7.296,2.081,6.000
2.694,7.292,2.083,7.000
2.715,7.278,2.081,8.000
2.743,7.272,2.082,9.000
2.759,7.241,2.076,14.000
2.791,7.243,2.080,15.000
2.814,7.240,2.081,18.000
2.839,7.226,2.080,21.000
2.859,7.204,2.077,22.000
2.886,7.197,2.078,30.000
2.905,7.173,2.074,27.000
2.943,7.189,2.081,34.000
2.963,7.174,2.080,36.000
2.988,7.164,2.080,41.000
3.003,7.135,2.074,39.000
3.031,7.127,2.075,46.000
3.059,7.126,2.078,50.000
3.086,7.122,2.080,51.000
3.109,7.104,2.078,57.000
3.130,7.082,2.075,57.000
