"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.439,7.444,2.099,0.000
2.447,7.377,2.082,0.000
2.474,7.372,2.083,0.000
2.503,7.378,2.088,0.000
2.532,7.378,2.090,0.000
2.549,7.350,2.085,1.000
2.576,7.339,2.084,1.000
2.599,7.328,2.083,2.000
2.629,7.326,2.086,2.000
2.651,7.310,2.083,5.000
2.679,7.306,2.085,6.000
2.694,7.274,2.078,7.000
2.723,7.271,2.080,7.000
2.748,7.266,2.081,9.000
2.773,7.250,2.080,12.000
2.796,7.243,2.080,16.000
2.816,7.219,2.076,17.000
2.843,7.213,2.077,23.000
2.873,7.213,2.080,25.000
2.891,7.187,2.076,27.000
2.914,7.173,2.075,28.000
2.939,7.163,2.075,35.000
2.971,7.165,2.078,38.000
2.999,7.166,2.081,30.000
3.024,7.155,2.081,43.000
3.040,7.127,2.076,45.000
3.065,7.117,2.076,48.000
3.090,7.104,2.076,51.000
3.120,7.103,2.079,51.000
3.145,7.103,2.081,60.000
