"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.441,7.407,2.090,0.000
2.463,7.383,2.086,0.000
2.483,7.365,2.082,0.000
2.513,7.365,2.085,0.000
2.535,7.353,2.084,1.000
2.567,7.360,2.089,1.000
2.580,7.319,2.079,1.000
2.606,7.310,2.079,2.000
2.636,7.317,2.084,3.000
2.665,7.315,2.086,6.000
2.689,7.302,2.085,6.000
2.710,7.280,2.081,8.000
2.729,7.256,2.077,9.000
2.762,7.264,2.082,13.000
2.784,7.248,2.080,14.000
2.808,7.235,2.079,16.000
2.831,7.219,2.078,18.000
2.856,7.209,2.078,21.000
2.878,7.199,2.077,28.000
2.904,7.190,2.078,28.000
2.930,7.186,2.079,32.000
2.951,7.163,2.076,36.000
2.978,7.160,2.078,41.000
3.010,7.165,2.082,18.000
3.031,7.148,2.080,42.000
3.060,7.142,2.082,45.000
3.076,7.114,2.077,47.000
3.102,7.103,2.077,57.000
3.121,7.086,2.075,56.000
3.149,7.080,2.076,60.000
