"X","Y","Z","Intensity"
5.824,5.114,2.077,112.000
5.832,5.084,2.073,103.000
5.837,5.058,2.070,67.000
5.866,5.048,2.074,65.000
5.885,5.026,2.074,63.000
5.906,5.007,2.075,63.000
5.915,4.981,2.072,60.000
5.931,4.959,2.072,67.000
5.952,4.940,2.073,60.000
5.971,4.920,2.073,65.000
5.992,4.906,2.075,63.000
5.997,4.876,2.071,65.000
6.014,4.853,2.071,67.000
6.030,4.829,2.070,63.000
6.057,4.818,2.074,67.000
6.082,4.801,2.076,57.000
6.087,4.776,2.073,69.000
6.092,4.744,2.069,65.000
6.115,4.728,2.071,65.000
6.135,4.708,2.072,65.000
6.153,4.691,2.073,65.000
6.162,4.662,2.071,67.000
6.177,4.640,2.070,69.000
6.198,4.621,2.072,69.000
6.215,4.602,2.072,67.000
6.233,4.580,2.073,65.000
6.239,4.553,2.070,58.000
6.233,4.515,2.062,29.000
6.275,4.510,2.071,71.000
6.275,4.476,2.065,31.000
6.302,4.465,2.070,34.000
6.330,4.452,2.074,67.000
6.332,4.419,2.069,67.000
6.349,4.398,2.070,65.000
6.367,4.379,2.071,65.000
6.387,4.360,2.072,67.000
6.402,4.338,2.072,67.000
6.407,4.307,2.068,65.000
6.422,4.288,2.069,67.000
6.446,4.269,2.072,65.000
6.460,4.248,2.072,65.000
6.472,4.222,2.071,56.000
6.491,4.204,2.072,74.000
6.508,4.181,2.073,72.000
6.528,4.164,2.075,72.000
6.540,4.138,2.074,72.000
6.548,4.114,2.072,74.000
6.557,4.088,2.071,69.000
6.572,4.065,2.071,69.000
6.596,4.047,2.074,69.000
6.616,4.029,2.076,69.000
6.617,3.998,2.072,72.000
6.629,3.975,2.071,102.000
6.645,3.952,2.072,72.000
6.660,3.931,2.072,74.000
6.683,3.913,2.075,74.000
6.692,3.887,2.074,115.000
6.699,3.860,2.072,112.000
6.701,3.829,2.068,72.000
6.723,3.810,2.071,65.000
6.741,3.794,2.073,65.000
6.746,3.764,2.070,67.000
6.762,3.740,2.071,69.000
6.779,3.717,2.072,69.000
6.793,3.699,2.073,69.000
6.807,3.674,2.073,69.000
6.812,3.648,2.071,72.000
6.824,3.622,2.070,74.000
6.841,3.601,2.072,69.000
6.865,3.581,2.075,108.000
6.863,3.555,2.071,72.000
6.879,3.532,2.072,74.000
6.882,3.501,2.069,102.000
6.899,3.477,2.070,74.000
6.912,3.455,2.071,69.000
6.927,3.433,2.072,72.000
6.928,3.405,2.068,72.000
6.939,3.378,2.068,102.000
6.957,3.360,2.070,74.000
6.975,3.339,2.072,102.000
6.984,3.312,2.071,74.000
6.988,3.284,2.069,102.000
6.993,3.256,2.067,102.000
7.015,3.237,2.070,74.000
7.021,3.213,2.069,102.000
7.044,3.192,2.072,74.000
7.041,3.161,2.068,74.000
7.052,3.135,2.068,74.000
7.064,3.114,2.068,69.000
7.082,3.091,2.071,72.000
7.091,3.067,2.070,67.000
7.093,3.037,2.067,72.000
6.267,2.659,1.824,115.000
6.261,2.629,1.819,130.000
6.245,2.601,1.813,30.000
6.237,2.572,1.808,41.000
6.256,2.554,1.811,117.000
6.212,2.510,1.795,118.000
6.206,2.482,1.791,112.000
6.190,2.451,1.784,115.000
6.177,2.421,1.778,118.000
6.153,2.385,1.768,122.000
6.125,2.351,1.758,122.000
6.108,2.320,1.751,122.000
6.095,2.292,1.745,119.000
6.080,2.262,1.738,115.000
6.063,2.230,1.731,118.000
6.044,2.199,1.723,119.000
6.032,2.174,1.718,124.000
6.018,2.144,1.712,124.000
5.998,2.113,1.704,122.000
5.977,2.081,1.696,122.000
5.950,2.051,1.686,118.000
5.943,2.024,1.682,115.000
5.932,1.997,1.677,115.000
5.919,1.969,1.671,119.000
5.894,1.939,1.663,122.000
5.872,1.908,1.654,125.000
5.860,1.884,1.649,121.000
5.853,1.859,1.646,124.000
5.834,1.831,1.638,119.000
5.813,1.802,1.631,59.000
5.761,1.766,1.615,24.000
5.763,1.744,1.613,34.000
5.738,1.714,1.605,36.000
5.770,1.701,1.612,63.000
5.770,1.680,1.610,13.000
7.202,2.069,2.008,50.000
7.252,2.056,2.020,63.000
7.284,2.038,2.027,67.000
7.307,2.017,2.031,63.000
7.333,1.996,2.036,38.000
7.372,1.984,2.046,12.000
7.417,1.967,2.056,12.000
7.468,1.954,2.068,19.000
7.500,1.933,2.075,34.000
7.504,1.907,2.075,41.000
7.476,1.871,2.065,38.000
7.487,1.847,2.066,36.000
5.502,1.336,1.517,6.000
0,0,0,0
5.489,1.292,1.511,116.000
5.480,1.271,1.507,128.000
5.471,1.249,1.504,131.000
5.447,1.224,1.496,57.000
0,0,0,0
2.905,0.632,0.797,25.000
2.907,0.622,0.797,26.000
2.911,0.612,0.797,127.000
2.919,0.602,0.799,134.000
2.921,0.593,0.799,133.000
2.918,0.581,0.797,135.000
2.914,0.570,0.796,133.000
2.924,0.561,0.798,133.000
2.929,0.551,0.799,132.000
2.937,0.542,0.800,130.000
2.929,0.531,0.798,50.000
0,0,0,0
2.954,0.514,0.803,5.000
0,0,0,0
2.965,0.495,0.805,127.000
2.959,0.483,0.803,133.000
2.947,0.471,0.800,129.000
2.972,0.464,0.806,134.000
2.968,0.453,0.804,130.000
2.973,0.443,0.805,129.000
2.971,0.432,0.804,109.000
0,0,0,0
3.001,0.415,0.812,4.000
2.992,0.403,0.809,5.000
3.019,0.396,0.816,25.000
0,0,0,0
3.004,0.374,0.811,134.000
2.998,0.362,0.809,133.000
3.009,0.353,0.812,134.000
3.017,0.343,0.814,135.000
3.011,0.331,0.812,126.000
0,0,0,0
3.019,0.311,0.813,3.000
3.033,0.302,0.817,4.000
3.052,0.293,0.821,5.000
3.053,0.282,0.821,9.000
0,0,0,0
5.012,0.430,1.348,131.000
4.998,0.411,1.344,133.000
4.975,0.391,1.337,133.000
4.953,0.373,1.331,131.000
4.937,0.354,1.326,130.000
4.949,0.338,1.329,133.000
4.933,0.319,1.325,131.000
4.925,0.302,1.322,129.000
4.920,0.285,1.320,131.000
4.898,0.265,1.314,128.000
4.889,0.247,1.312,127.000
4.892,0.232,1.312,130.000
4.881,0.214,1.309,130.000
4.866,0.195,1.305,131.000
4.844,0.177,1.299,133.000
4.846,0.162,1.299,134.000
4.839,0.145,1.297,135.000
4.822,0.126,1.293,132.000
4.803,0.109,1.287,132.000
4.788,0.092,1.283,133.000
4.783,0.075,1.282,130.000
4.800,0.059,1.286,134.000
4.773,0.042,1.279,131.000
4.754,0.027,1.274,132.000
