"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.438,7.408,2.090,0.000
2.468,7.406,2.092,0.000
2.484,7.372,2.085,0.000
2.515,7.378,2.089,0.000
2.540,7.369,2.089,1.000
2.565,7.355,2.087,1.000
2.593,7.359,2.091,1.000
2.610,7.327,2.084,3.000
2.627,7.294,2.077,3.000
2.658,7.295,2.080,5.000
2.680,7.289,2.081,6.000
2.710,7.292,2.085,7.000
2.730,7.258,2.078,9.000
2.758,7.258,2.080,12.000
2.779,7.243,2.079,12.000
2.807,7.241,2.081,16.000
2.835,7.241,2.083,20.000
2.854,7.212,2.078,21.000
2.878,7.200,2.078,25.000
2.898,7.172,2.073,29.000
2.926,7.177,2.077,33.000
2.956,7.175,2.079,35.000
2.976,7.161,2.078,38.000
2.997,7.137,2.074,18.000
3.025,7.138,2.077,36.000
3.058,7.141,2.081,45.000
3.083,7.132,2.082,48.000
3.100,7.103,2.077,57.000
3.118,7.079,2.073,55.000
3.145,7.071,2.074,57.000
