"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.424,7.404,2.088,0.000
2.453,7.407,2.091,0.000
2.480,7.398,2.091,0.000
2.499,7.375,2.087,0.000
2.529,7.379,2.090,0.000
2.548,7.354,2.086,1.000
2.574,7.341,2.085,1.000
2.598,7.333,2.085,2.000
2.621,7.317,2.082,2.000
2.647,7.309,2.083,5.000
2.676,7.305,2.085,6.000
2.695,7.281,2.080,7.000
2.722,7.277,2.082,7.000
2.748,7.270,2.082,9.000
2.771,7.253,2.080,13.000
2.795,7.244,2.080,18.000
2.814,7.218,2.076,17.000
2.837,7.209,2.076,22.000
2.868,7.211,2.079,24.000
2.897,7.210,2.082,30.000
2.912,7.172,2.074,30.000
2.938,7.168,2.076,35.000
2.964,7.155,2.075,36.000
2.998,7.170,2.082,37.000
3.022,7.154,2.081,41.000
3.039,7.128,2.076,46.000
3.064,7.115,2.076,47.000
3.091,7.116,2.079,51.000
3.114,7.100,2.077,54.000
3.142,7.100,2.080,60.000
