"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.434,7.413,2.091,0.000
2.454,7.395,2.088,0.000
2.482,7.389,2.089,0.000
2.506,7.377,2.088,0.000
2.530,7.363,2.086,1.000
2.550,7.348,2.084,0.000
2.577,7.338,2.084,2.000
2.601,7.328,2.083,2.000
2.628,7.322,2.085,3.000
2.653,7.313,2.085,6.000
2.678,7.298,2.083,6.000
2.701,7.283,2.081,7.000
2.724,7.266,2.079,7.000
2.752,7.266,2.082,12.000
2.774,7.250,2.080,15.000
2.797,7.233,2.078,15.000
2.825,7.232,2.080,18.000
2.845,7.214,2.078,21.000
2.875,7.212,2.080,24.000
2.902,7.212,2.083,30.000
2.922,7.185,2.078,33.000
2.938,7.157,2.073,33.000
2.972,7.164,2.078,37.000
2.997,7.162,2.080,23.000
3.023,7.149,2.080,40.000
3.044,7.134,2.078,46.000
3.069,7.119,2.077,48.000
3.093,7.109,2.077,54.000
3.117,7.098,2.077,54.000
3.146,7.096,2.080,57.000
