"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.432,7.428,2.094,0.000
2.442,7.372,2.081,0.000
2.480,7.400,2.091,0.000
2.504,7.386,2.090,0.000
2.523,7.357,2.084,0.000
2.553,7.361,2.088,1.000
2.575,7.345,2.086,1.000
2.603,7.337,2.086,2.000
2.622,7.314,2.082,2.000
2.645,7.294,2.079,3.000
2.668,7.287,2.079,6.000
2.699,7.288,2.082,7.000
2.724,7.281,2.083,8.000
2.749,7.267,2.082,8.000
2.770,7.257,2.081,14.000
2.793,7.238,2.079,16.000
2.816,7.227,2.078,18.000
2.843,7.221,2.079,22.000
2.869,7.213,2.080,24.000
2.893,7.197,2.078,27.000
2.906,7.164,2.072,30.000
2.940,7.176,2.078,36.000
2.966,7.167,2.078,36.000
2.996,7.165,2.081,37.000
3.016,7.148,2.079,43.000
3.036,7.125,2.075,47.000
3.065,7.123,2.078,48.000
3.093,7.121,2.080,50.000
3.119,7.112,2.081,54.000
3.139,7.091,2.078,60.000
